Id,PRP
0,30.307701
1,172.583924
2,16.670288
3,280.739179
4,48.760336
5,13.783923
6,69.265985
7,2.126616
8,29.640894
9,5.792139
10,34.651548
11,12.816228
12,265.857708
13,31.931795
14,150.503038
15,23.615172
16,33.053286
17,30.842529
18,18.002311
19,120.748236
20,74.236590
21,5.029165
22,59.758802
23,17.573681
24,172.503240
25,123.904234
26,72.514482
27,418.779286
28,1.571216
29,182.075860
30,127.633838
31,7.756217
32,58.579159
33,174.481389
34,39.873643
35,399.896610
36,5.825114
37,418.779286
38,35.564148
39,23.580540
40,127.633838
