Id,PRP
0,27.302941
1,123.805349
2,22.054824
3,419.623457
4,47.888242
5,13.212919
6,59.000000
7,25.189358
8,47.963091
9,22.930003
10,76.600347
11,15.135365
12,255.046707
13,50.387868
14,152.308720
15,24.101783
16,14.647683
17,53.865005
18,27.022637
19,141.781469
20,106.144462
21,8.100823
22,60.984821
23,22.546842
24,124.196662
25,109.844668
26,62.443451
27,340.697501
28,21.967558
29,376.925489
30,150.826099
31,11.644240
32,71.015178
33,187.412940
34,38.053150
35,458.097473
36,20.092519
37,340.697501
38,18.092306
39,24.313503
40,150.826099
