Id,PRP
0,68.859703
1,181.274312
2,45.299348
3,316.608217
4,61.257042
5,44.349168
6,61.073750
7,30.925944
8,71.519827
9,43.154232
10,56.673634
11,26.291097
12,323.201831
13,48.555715
14,163.502792
15,51.554420
16,34.025022
17,61.314436
18,36.430530
19,131.907192
20,88.754206
21,42.247279
22,75.679706
23,45.432500
24,180.751633
25,114.628250
26,67.227926
27,457.653959
28,34.773681
29,239.264524
30,86.864890
31,42.841517
32,51.156520
33,276.446484
34,51.137846
35,651.596775
36,51.670850
37,457.653959
38,58.164046
39,59.059964
40,86.864890
