Id,PRP
0,61.938057
1,161.471807
2,21.984732
3,323.706068
4,56.434020
5,18.217996
6,77.237742
7,20.477729
8,51.591381
9,21.345862
10,97.122267
11,19.610696
12,230.592678
13,42.179059
14,149.357994
15,34.694888
16,31.730170
17,45.931599
18,35.277342
19,131.976752
20,76.950152
21,18.391064
22,67.565628
23,22.831918
24,161.555081
25,118.622474
26,84.077891
27,327.284948
28,15.527914
29,240.514475
30,129.204351
31,7.363594
32,65.915457
33,169.423409
34,59.331995
35,423.208313
36,7.342158
37,327.284948
38,43.953851
39,38.436233
40,129.204351
